,Name,Price,Link
0,Python-Data-Science-Handbook-Essential,$28.12,https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1491912057
1,Python-Data-Science-Handbook-Essential-ebook,$26.71,https://www.amazon.com/Python-Data-Science-Handbook-Essential-ebook/dp/B01N2JT3ST
2,Data-Science-Press-Essential-Knowledge-ebook,$8.63,https://www.amazon.com/Data-Science-Press-Essential-Knowledge-ebook/dp/B07C4HKQ9N
3,Data-Science-Press-Essential-Knowledge,$13.06,https://www.amazon.com/Data-Science-Press-Essential-Knowledge/dp/0262535432
4,Data-Science-Scratch-Principles-Python,$21.50,https://www.amazon.com/Data-Science-Scratch-Principles-Python/dp/149190142X
5,Data-Science-Scratch-Principles-Python-ebook,$19.49,https://www.amazon.com/Data-Science-Scratch-Principles-Python-ebook/dp/B00W4DTP2A&selectObb=rent
6,Data-Science-Transform-Visualize-Model,$23.62,https://www.amazon.com/Data-Science-Transform-Visualize-Model/dp/1491910399
7,Data-Science-Transform-Visualize-Model-ebook,$19.49,https://www.amazon.com/Data-Science-Transform-Visualize-Model-ebook/dp/B01NAJAEN5
8,Data-Science-Business-Data-Analytic-Thinking,$31.26,https://www.amazon.com/Data-Science-Business-Data-Analytic-Thinking/dp/1449361323
9,Data-Science-Business-Data-Analytic-Thinking-ebook,$20.48,https://www.amazon.com/Data-Science-Business-Data-Analytic-Thinking-ebook/dp/B00E6EQ3X4&selectObb=rent
10,Numsense-Data-Science-Layman-Added-ebook,$3.99,https://www.amazon.com/Numsense-Data-Science-Layman-Added-ebook/dp/B01N29ZEM6
11,Numsense-Data-Science-Layman-Added,$28.99,https://www.amazon.com/Numsense-Data-Science-Layman-Added/dp/9811110689
12,Hands-Machine-Learning-Scikit-Learn-TensorFlow,$29.35,https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/1491962291
13,Hands-Machine-Learning-Scikit-Learn-TensorFlow-ebook,$24.99,https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow-ebook/dp/B06XNKV5TS
14,Science-Scratch-Python-Step-Step-ebook,$5.99,https://www.amazon.com/Science-Scratch-Python-Step-Step-ebook/dp/B07GRDWJ5L
15,Science-Scratch-Python-Step-Step,$14.95,https://www.amazon.com/Science-Scratch-Python-Step-Step/dp/1726020681
16,Heard-Data-Science-Interviews-Interview,$47.99,https://www.amazon.com/Heard-Data-Science-Interviews-Interview/dp/1727287320
17,Naked-Statistics-Stripping-Dread-Data,$11.52,https://www.amazon.com/Naked-Statistics-Stripping-Dread-Data/dp/039334777X
18,Naked-Statistics-Stripping-Dread-Data-ebook,$10.94,https://www.amazon.com/Naked-Statistics-Stripping-Dread-Data-ebook/dp/B007Q6XLF2
19,Data-Analytics-Made-Accessible-2018-ebook,$9.99,https://www.amazon.com/Data-Analytics-Made-Accessible-2018-ebook/dp/B00K2I2JL8
20,What-Data-Science-Mike-Loukides-ebook,$0.00,https://www.amazon.com/What-Data-Science-Mike-Loukides-ebook/dp/B007R8BHAK
21,Data-Smart-Science-Transform-Information,$25.63,https://www.amazon.com/Data-Smart-Science-Transform-Information/dp/111866146X
22,Data-Smart-Science-Transform-Information-ebook,$23.99,https://www.amazon.com/Data-Smart-Science-Transform-Information-ebook/dp/B00F0WRXI0
23,Data-Science-Executives-Leveraging-Intelligence-ebook,$9.99,https://www.amazon.com/Data-Science-Executives-Leveraging-Intelligence-ebook/dp/B07JBBNJQW
24,Data-Science-Executives-Leveraging-Intelligence,$15.65,https://www.amazon.com/Data-Science-Executives-Leveraging-Intelligence/dp/1544511256
25,Data-Science-Dummies-Computers-ebook,$15.99,https://www.amazon.com/Data-Science-Dummies-Computers-ebook/dp/B06WWPG3NH
26,Data-Science-Dummies-2nd-Computers,$22.82,https://www.amazon.com/Data-Science-Dummies-2nd-Computers/dp/1119327636
27,Data-Science-Scratch-Everything-Applications-ebook,$2.99,https://www.amazon.com/Data-Science-Scratch-Everything-Applications-ebook/dp/B07FM4Z3FH
28,Data-Science-Scratch-Everything-Applications,$16.99,https://www.amazon.com/Data-Science-Scratch-Everything-Applications/dp/1723141208
29,Storytelling-Data-Visualization-Business-Professionals,$20.12,https://www.amazon.com/Storytelling-Data-Visualization-Business-Professionals/dp/1119002257
30,Storytelling-Data-Visualization-Business-Professionals-ebook,$19.11,https://www.amazon.com/Storytelling-Data-Visualization-Business-Professionals-ebook/dp/B016DHQSM2
31,Doing-Data-Science-Straight-Frontline,$26.09,https://www.amazon.com/Doing-Data-Science-Straight-Frontline/dp/1449358659
32,Doing-Data-Science-Straight-Frontline-ebook,$22.99,https://www.amazon.com/Doing-Data-Science-Straight-Frontline-ebook/dp/B00FRSNHDC&selectObb=rent
33,Science-Design-Manual-Texts-Computer,$54.60,https://www.amazon.com/Science-Design-Manual-Texts-Computer/dp/3319554433
34,Science-Design-Manual-Texts-Computer-ebook,$52.45,https://www.amazon.com/Science-Design-Manual-Texts-Computer-ebook/dp/B073N5ZDMK
35,Machine-Learning-Absolute-Beginners-Introduction-ebook,$4.90,https://www.amazon.com/Machine-Learning-Absolute-Beginners-Introduction-ebook/dp/B07335JNW1
36,Machine-Learning-Absolute-Beginners-Introduction,$11.20,https://www.amazon.com/Machine-Learning-Absolute-Beginners-Introduction/dp/1549617214
37,Introduction-Data-Science-Jeffrey-Saltz,$48.60,https://www.amazon.com/Introduction-Data-Science-Jeffrey-Saltz/dp/150637753X
38,Introduction-Data-Science-Jeffrey-Saltz-ebook,$31.00,https://www.amazon.com/Introduction-Data-Science-Jeffrey-Saltz-ebook/dp/B075C8F6B3
39,Practical-Statistics-Data-Scientists-Essential-ebook,$19.27,https://www.amazon.com/Practical-Statistics-Data-Scientists-Essential-ebook/dp/B071NVDFD6
40,Data-Analysis-Scratch-Python-Visualization-ebook,$5.00,https://www.amazon.com/Data-Analysis-Scratch-Python-Visualization-ebook/dp/B07GFQCKNR
41,Analysis-Scratch-Python-Step-Step,$15.95,https://www.amazon.com/Analysis-Scratch-Python-Step-Step/dp/1725678098
42,Practical-Data-Science-Nina-Zumel,$39.38,https://www.amazon.com/Practical-Data-Science-Nina-Zumel/dp/1617291560
43,Data-Science-Warehousing-Visualization-Regression-ebook,$4.99,https://www.amazon.com/Data-Science-Warehousing-Visualization-Regression-ebook/dp/B07K5YB7RF
44,Malware-Data-Science-Detection-Attribution,$27.70,https://www.amazon.com/Malware-Data-Science-Detection-Attribution/dp/1593278594
45,Malware-Data-Science-Detection-Attribution-ebook,$29.99,https://www.amazon.com/Malware-Data-Science-Detection-Attribution-ebook/dp/B077X1V9SY
46,Ethics-Data-Science-Mike-Loukides-ebook,$0.00,https://www.amazon.com/Ethics-Data-Science-Mike-Loukides-ebook/dp/B07GTC8ZN7
47,Value-Your-Personal-Data,$2.99,https://www.amazon.com/Value-Your-Personal-Data/dp/B01MT68IKS
48,Business-Intelligence-Analytics-Data-Science,$43.81,https://www.amazon.com/Business-Intelligence-Analytics-Data-Science/dp/0134633288&selectObb=rent
49,Business-Intelligence-Analytics-Data-Science,$97.27,https://www.amazon.com/Business-Intelligence-Analytics-Data-Science/dp/0134633288&selectObb=rent
50,Business-Intelligence-Analytics-Data-Science-ebook,$67.99,https://www.amazon.com/Business-Intelligence-Analytics-Data-Science-ebook/dp/B01N5RQVHE&selectObb=rent
51,Python-Data-Analysis-Wrangling-IPython-ebook,$24.99,https://www.amazon.com/Python-Data-Analysis-Wrangling-IPython-ebook/dp/B075X4LT6K
52,Python-Data-Analysis-Wrangling-IPython,$44.42,https://www.amazon.com/Python-Data-Analysis-Wrangling-IPython/dp/1491957662
53,Modern-Science-Chapman-Texts-Statistical,$44.36,https://www.amazon.com/Modern-Science-Chapman-Texts-Statistical/dp/1498724485&selectObb=rent
54,Modern-Science-Chapman-Texts-Statistical,$88.69,https://www.amazon.com/Modern-Science-Chapman-Texts-Statistical/dp/1498724485&selectObb=rent
55,Modern-Science-Chapman-Texts-Statistical-ebook,$79.61,https://www.amazon.com/Modern-Science-Chapman-Texts-Statistical-ebook/dp/B06XPNZ4H2
56,Linear-Algebra-Beginners-Doors-Careers,$6.99,https://www.amazon.com/Linear-Algebra-Beginners-Doors-Careers/dp/B01KW4Q372
57,Statistics-Art-Science-Learning-Data,$24.99,https://www.amazon.com/Statistics-Art-Science-Learning-Data/dp/0321997832&selectObb=rent
58,Statistics-Art-Science-Learning-Data,$193.48,https://www.amazon.com/Statistics-Art-Science-Learning-Data/dp/0321997832&selectObb=rent
59,Statistics-Science-Learning-Data-Global,$59.49,https://www.amazon.com/Statistics-Science-Learning-Data-Global/dp/1292164778
60,Think-Like-Scientist-step-step,$35.09,https://www.amazon.com/Think-Like-Scientist-step-step/dp/1633430278
61,Two-Types-Science-T-Shirt-Heather,$14.99,https://www.amazon.com/Two-Types-Science-T-Shirt-Heather/dp/B0763W8MR1
62,Programming-Skills-Data-Science-Addison-Wesley,$39.28,https://www.amazon.com/Programming-Skills-Data-Science-Addison-Wesley/dp/0135133106
63,Programming-Skills-Data-Science-Addison-Wesley-ebook,$31.19,https://www.amazon.com/Programming-Skills-Data-Science-Addison-Wesley-ebook/dp/B07KMDCHT2
64,Data-Science-Big-Analytics-Discovering,$46.86,https://www.amazon.com/Data-Science-Big-Analytics-Discovering/dp/111887613X
65,Data-Science-Big-Analytics-Discovering-ebook,$37.64,https://www.amazon.com/Data-Science-Big-Analytics-Discovering-ebook/dp/B00RXHVQF6
66,Torture-Data-Funny-Geek-Coffee,$13.50,https://www.amazon.com/Torture-Data-Funny-Geek-Coffee/dp/B06XJCNP4X
67,Big-Data-Science-Analytics-Hands,$60.00,https://www.amazon.com/Big-Data-Science-Analytics-Hands/dp/0996025537
68,Big-Data-Science-Analytics-Hands,$67.98,https://www.amazon.com/Big-Data-Science-Analytics-Hands/dp/B01K95TSKI
69,Data-Center-True-Cost-Internet,$1.99,https://www.amazon.com/Data-Center-True-Cost-Internet/dp/B074PG4LZH
70,Data-Science-Google-Cloud-Platform,$45.25,https://www.amazon.com/Data-Science-Google-Cloud-Platform/dp/1491974567
71,Data-Science-Google-Cloud-Platform-ebook,$29.99,https://www.amazon.com/Data-Science-Google-Cloud-Platform-ebook/dp/B0787L7RK3
72,Agile-Data-Science-2-0-Applications,$31.33,https://www.amazon.com/Agile-Data-Science-2-0-Applications/dp/1491960116
73,Agile-Data-Science-2-0-Applications-ebook,$22.99,https://www.amazon.com/Agile-Data-Science-2-0-Applications-ebook/dp/B072MKL34K
74,Fundamentals-Machine-Learning-Predictive-Analytics,$70.96,https://www.amazon.com/Fundamentals-Machine-Learning-Predictive-Analytics/dp/0262029448
75,Fundamentals-Machine-Learning-Predictive-Analytics-ebook,$65.51,https://www.amazon.com/Fundamentals-Machine-Learning-Predictive-Analytics-ebook/dp/B013FHC8CM
76,Data-Science-Handbook-Field-Cady,$56.89,https://www.amazon.com/Data-Science-Handbook-Field-Cady/dp/1119092949
77,Data-Science-Handbook-Field-Cady-ebook,$34.63,https://www.amazon.com/Data-Science-Handbook-Field-Cady-ebook/dp/B01N9ZUWWS
78,Boszina-Analysis-Chemistry-Notebooks-Computers,$9.99,https://www.amazon.com/Boszina-Analysis-Chemistry-Notebooks-Computers/dp/B07H5NCL3K
79,1107149894-9781107149892-Statistical-Inference-Hardcover,$147.18,https://www.amazon.com/1107149894-9781107149892-Statistical-Inference-Hardcover/dp/B07KSBDM2Q
80,Data-Science-Transforming-Health-Care-ebook,$0.00,https://www.amazon.com/Data-Science-Transforming-Health-Care-ebook/dp/B008Y1O0M6
81,Probability-Statistics-Science-Ankit-Rathi-ebook,$2.99,https://www.amazon.com/Probability-Statistics-Science-Ankit-Rathi-ebook/dp/B07N18VT5C
82,Python-Data-Science-Dummies-Computer,$18.38,https://www.amazon.com/Python-Data-Science-Dummies-Computer/dp/1118844181
83,Python-Data-Science-Dummies-Computer-ebook,$15.99,https://www.amazon.com/Python-Data-Science-Dummies-Computer-ebook/dp/B00TWK3RHW
84,Art-Data-Science-Roger-Peng,$20.00,https://www.amazon.com/Art-Data-Science-Roger-Peng/dp/1365061469
85,Wireless-Temperature-Monitoring-Unlimited-Historical,$149.00,https://www.amazon.com/Wireless-Temperature-Monitoring-Unlimited-Historical/dp/B01HH7YD2Y
86,Big-Data-Now-Current-Perspectives-ebook,$0.00,https://www.amazon.com/Big-Data-Now-Current-Perspectives-ebook/dp/B005KDPILI
87,Data-Science-Visual-Illustrations-Examples-ebook,$9.99,https://www.amazon.com/Data-Science-Visual-Illustrations-Examples-ebook/dp/B07KNBFGFZ
88,Data-Science-Visual-Illustrations-Examples,$19.50,https://www.amazon.com/Data-Science-Visual-Illustrations-Examples/dp/1729017452
89,Big-Data-Analytics-Transforming-World,$2.99,https://www.amazon.com/Big-Data-Analytics-Transforming-World/dp/B0754TBVHT
90,Like-Data-Maybe-People-Science,$14.99,https://www.amazon.com/Like-Data-Maybe-People-Science/dp/B07GW38JFH
