,Name,Price,Recorded_On,Link
0,Data-Science-Scratch-Principles-Python,$22.00,2019-01-29,https://www.amazon.com/Data-Science-Scratch-Principles-Python/dp/149190142X
1,Data-Science-Scratch-Principles-Python-ebook,$19.49,2019-01-29,https://www.amazon.com/Data-Science-Scratch-Principles-Python-ebook/dp/B00W4DTP2A&selectObb=rent
2,Data-Science-Press-Essential-Knowledge-ebook,$8.63,2019-01-29,https://www.amazon.com/Data-Science-Press-Essential-Knowledge-ebook/dp/B07C4HKQ9N
3,Data-Science-Press-Essential-Knowledge,$13.06,2019-01-29,https://www.amazon.com/Data-Science-Press-Essential-Knowledge/dp/0262535432
4,Python-Data-Science-Handbook-Essential,$28.12,2019-01-29,https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1491912057
5,Python-Data-Science-Handbook-Essential-ebook,$26.71,2019-01-29,https://www.amazon.com/Python-Data-Science-Handbook-Essential-ebook/dp/B01N2JT3ST
6,Data-Science-Transform-Visualize-Model,$23.62,2019-01-29,https://www.amazon.com/Data-Science-Transform-Visualize-Model/dp/1491910399
7,Data-Science-Transform-Visualize-Model-ebook,$19.49,2019-01-29,https://www.amazon.com/Data-Science-Transform-Visualize-Model-ebook/dp/B01NAJAEN5
8,Data-Science-Business-Data-Analytic-Thinking,$31.26,2019-01-29,https://www.amazon.com/Data-Science-Business-Data-Analytic-Thinking/dp/1449361323
9,Data-Science-Business-Data-Analytic-Thinking-ebook,$20.48,2019-01-29,https://www.amazon.com/Data-Science-Business-Data-Analytic-Thinking-ebook/dp/B00E6EQ3X4&selectObb=rent
10,Hands-Machine-Learning-Scikit-Learn-TensorFlow,$29.35,2019-01-29,https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/1491962291
11,Hands-Machine-Learning-Scikit-Learn-TensorFlow-ebook,$24.99,2019-01-29,https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow-ebook/dp/B06XNKV5TS
12,What-Data-Science-Mike-Loukides-ebook,$0.00,2019-01-29,https://www.amazon.com/What-Data-Science-Mike-Loukides-ebook/dp/B007R8BHAK
13,Numsense-Data-Science-Layman-Added,$28.99,2019-01-29,https://www.amazon.com/Numsense-Data-Science-Layman-Added/dp/9811110689
14,Numsense-Data-Science-Layman-Added-ebook,$3.99,2019-01-29,https://www.amazon.com/Numsense-Data-Science-Layman-Added-ebook/dp/B01N29ZEM6
15,Naked-Statistics-Stripping-Dread-Data,$11.52,2019-01-29,https://www.amazon.com/Naked-Statistics-Stripping-Dread-Data/dp/039334777X
16,Naked-Statistics-Stripping-Dread-Data-ebook,$10.94,2019-01-29,https://www.amazon.com/Naked-Statistics-Stripping-Dread-Data-ebook/dp/B007Q6XLF2
17,Data-Analytics-Made-Accessible-2018-ebook,$9.99,2019-01-29,https://www.amazon.com/Data-Analytics-Made-Accessible-2018-ebook/dp/B00K2I2JL8
18,Heard-Data-Science-Interviews-Interview,$47.99,2019-01-29,https://www.amazon.com/Heard-Data-Science-Interviews-Interview/dp/1727287320
19,Doing-Data-Science-Straight-Frontline,$26.09,2019-01-29,https://www.amazon.com/Doing-Data-Science-Straight-Frontline/dp/1449358659
20,Doing-Data-Science-Straight-Frontline-ebook,$22.99,2019-01-29,https://www.amazon.com/Doing-Data-Science-Straight-Frontline-ebook/dp/B00FRSNHDC&selectObb=rent
21,Science-Scratch-Python-Step-Step-ebook,$5.99,2019-01-29,https://www.amazon.com/Science-Scratch-Python-Step-Step-ebook/dp/B07GRDWJ5L
22,Science-Scratch-Python-Step-Step,$14.95,2019-01-29,https://www.amazon.com/Science-Scratch-Python-Step-Step/dp/1726020681
23,Data-Smart-Science-Transform-Information,$25.63,2019-01-29,https://www.amazon.com/Data-Smart-Science-Transform-Information/dp/111866146X
24,Data-Smart-Science-Transform-Information-ebook,$23.99,2019-01-29,https://www.amazon.com/Data-Smart-Science-Transform-Information-ebook/dp/B00F0WRXI0
25,Data-Science-Dummies-Computers-ebook,$15.99,2019-01-29,https://www.amazon.com/Data-Science-Dummies-Computers-ebook/dp/B06WWPG3NH
26,Data-Science-Dummies-2nd-Computers,$22.82,2019-01-29,https://www.amazon.com/Data-Science-Dummies-2nd-Computers/dp/1119327636
27,Data-Science-Executives-Leveraging-Intelligence-ebook,$9.99,2019-01-29,https://www.amazon.com/Data-Science-Executives-Leveraging-Intelligence-ebook/dp/B07JBBNJQW
28,Data-Science-Executives-Leveraging-Intelligence,$15.87,2019-01-29,https://www.amazon.com/Data-Science-Executives-Leveraging-Intelligence/dp/1544511256
29,Storytelling-Data-Visualization-Business-Professionals,$20.12,2019-01-29,https://www.amazon.com/Storytelling-Data-Visualization-Business-Professionals/dp/1119002257
