,Name,Price,Recorded_On,Search_Word,Link,ISBN-10,ISBN-13,Language,Paperback,Publisher,Failed SS,Cards,Hardcover,Audio CD,File Size,Page Numbers Source ISBN,Print Length,Publication Date,Simultaneous Device Usage,Series,Diary,Age Range
0,Eat-That-Frog-Great-Procrastinating,$10.84,2019-02-02,eat that frog,https://www.amazon.com/Eat-That-Frog-Great-Procrastinating/dp/162656941X,162656941X,978-1626569416,English,144 pages,"Berrett-Koehler Publishers; 3 edition (April 17, 2017)",,,,,,,,,,,,
1,Eat-That-Frog-Great-Procrastinating-ebook,$8.02,2019-02-02,eat that frog,https://www.amazon.com/Eat-That-Frog-Great-Procrastinating-ebook/dp/B01MYEM8SZ,,,,,,True,,,,,,,,,,,
2,That-Frog-Action-Workbook-Procrastinating,$13.56,2019-02-02,eat that frog,https://www.amazon.com/That-Frog-Action-Workbook-Procrastinating/dp/1523084707,1523084707,978-1523084708,English,144 pages,"Berrett-Koehler Publishers; 1 edition (July 24, 2017)",,,,,,,,,,,,
3,Eat-That-Frog-Cards-Procrastinating,$10.84,2019-02-02,eat that frog,https://www.amazon.com/Eat-That-Frog-Cards-Procrastinating/dp/1523084693,1523084693,978-1523084692,English,,"Berrett-Koehler Publishers; 1 edition (August 29, 2017)",,56 pages,,,,,,,,,,
4,Eat-That-Frog-Great-Procrastinating,$14.54,2019-02-02,eat that frog,https://www.amazon.com/Eat-That-Frog-Great-Procrastinating/dp/1458794350,1458794350,978-1458794352,English,166 pages,"ReadHowYouWant (December 8, 2016)",,,,,,,,,,,,
5,Eat-That-Frog-Great-Procrastinating,$18.46,2019-02-02,eat that frog,https://www.amazon.com/Eat-That-Frog-Great-Procrastinating/dp/1608100197,1608100197,978-1608100194,English,,"Simple Truths (January 1, 2013)",,,153 pages,,,,,,,,,
6,Power-Self-Confidence-Unstoppable-Irresistible-Unafraid,$19.84,2019-02-02,eat that frog,https://www.amazon.com/Power-Self-Confidence-Unstoppable-Irresistible-Unafraid/dp/1118435915,1118435915,978-1118435915,English,,"Wiley; 1 edition (September 19, 2012)",,,192 pages,,,,,,,,,
7,Power-Self-Confidence-Unstoppable-Irresistible-Unafraid-ebook,$13.00,2019-02-02,eat that frog,https://www.amazon.com/Power-Self-Confidence-Unstoppable-Irresistible-Unafraid-ebook/dp/B008ZPBJKW,,,,,,True,,,,,,,,,,,
8,Eat-That-Frog-Brian-Tracy-ebook,$5.58,2019-02-02,eat that frog,https://www.amazon.com/Eat-That-Frog-Brian-Tracy-ebook/dp/B071CQ53CM,,,,,,True,,,,,,,,,,,
9,Eat-That-Frog-Daily-planner,$7.95,2019-02-02,eat that frog,https://www.amazon.com/Eat-That-Frog-Daily-planner/dp/151974871X,151974871X,978-1519748713,English,100 pages,"CreateSpace Independent Publishing Platform (December 8, 2015)",,,,,,,,,,,,
