,Name,Price,Recorded_On,Link
0,Final-Fantasy-Anthology-PlayStation,$9.99,2019-01-29,https://www.amazon.com/Final-Fantasy-Anthology-PlayStation/dp/B00002R28C
1,Final-Fantasy-Origins-Remastered-Editions-PlayStation,$14.93,2019-01-29,https://www.amazon.com/Final-Fantasy-Origins-Remastered-Editions-PlayStation/dp/B00008RUYZ
2,Final-Fantasy-XV-Royal-PlayStation-4,$27.89,2019-01-29,https://www.amazon.com/Final-Fantasy-XV-Royal-PlayStation-4/dp/B0792HGXB7
3,Final-Fantasy-XV-Royal-Xbox-One,$27.95,2019-01-29,https://www.amazon.com/Final-Fantasy-XV-Royal-Xbox-One/dp/B0792PG67J
4,Final-Fantasy-VII-Playstation,$155.95,2019-01-29,https://www.amazon.com/Final-Fantasy-VII-Playstation/dp/B00000JRSB
5,Final-Fantasy-VIII-PlayStation,$99.89,2019-01-29,https://www.amazon.com/Final-Fantasy-VIII-PlayStation/dp/B0000296O5
6,World-Final-Fantasy-PlayStation-Vita,$20.68,2019-01-29,https://www.amazon.com/World-Final-Fantasy-PlayStation-Vita/dp/B00ZM6I1DU
7,Final-Fantasy-IX-playstation-2,$14.90,2019-01-29,https://www.amazon.com/Final-Fantasy-IX-playstation-2/dp/B00004Y57G
8,Final-Fantasy-Chronicles-Chrono-Trigger-PlayStation,$19.99,2019-01-29,https://www.amazon.com/Final-Fantasy-Chronicles-Chrono-Trigger-PlayStation/dp/B00005LOXE
9,Final-Fantasy-VII-Remake-PlayStation-4,$59.99,2019-01-29,https://www.amazon.com/Final-Fantasy-VII-Remake-PlayStation-4/dp/B00ZS80PC2
10,Chrono-Cross-PlayStation,$9.99,2019-01-29,https://www.amazon.com/Chrono-Cross-PlayStation/dp/B00004TC6E
11,Final-Fantasy-Tactics-Playstation,$71.98,2019-01-29,https://www.amazon.com/Final-Fantasy-Tactics-Playstation/dp/B00002SVWG
12,Final-Fantasy-XIV-Online-Complete-PC,$51.95,2019-01-29,https://www.amazon.com/Final-Fantasy-XIV-Online-Complete-PC/dp/B071CMXD5H
13,FINAL-FANTASY-Online-Complete-Collectors,$99.99,2019-01-29,https://www.amazon.com/FINAL-FANTASY-Online-Complete-Collectors/dp/B07FL1YMDQ
14,FINAL-FANTASY-X-2-HD-Remaster-PlayStation,$30.99,2019-01-29,https://www.amazon.com/FINAL-FANTASY-X-2-HD-Remaster-PlayStation/dp/B00HD4R5RW
15,FINAL-FANTASY-X-2-Remaster-Limited-PlayStation,$93.85,2019-01-29,https://www.amazon.com/FINAL-FANTASY-X-2-Remaster-Limited-PlayStation/dp/B00URE9SSE
16,Final-Fantasy-X-2-Remaster-Standard-PlayStation,$15.61,2019-01-29,https://www.amazon.com/Final-Fantasy-X-2-Remaster-Standard-PlayStation/dp/B00C3MKCF6
17,Final-Fantasy-XV-Pocket-HD,$29.99,2019-01-29,https://www.amazon.com/Final-Fantasy-XV-Pocket-HD/dp/B07J6JFYY6
18,World-Final-Fantasy-Limited-PlayStation-4,$54.99,2019-01-29,https://www.amazon.com/World-Final-Fantasy-Limited-PlayStation-4/dp/B01ITXFF8Q
19,Dissidia-Final-Fantasy-Day-One,$59.99,2019-01-29,https://www.amazon.com/Dissidia-Final-Fantasy-Day-One/dp/B074ZXJCBJ
20,Dissidia-Final-Fantasy-NT-PlayStation-4,$12.95,2019-01-29,https://www.amazon.com/Dissidia-Final-Fantasy-NT-PlayStation-4/dp/B071G3JVFB
