,Name,Price,Recorded_On,Search_Word,Link
0,Python-Crash-Course-Hands-Project-Based,$27.16,2019-01-29,python,https://www.amazon.com/Python-Crash-Course-Hands-Project-Based/dp/1593276036
1,Python-Crash-Course-Hands-Project-Based-ebook,$23.99,2019-01-29,python,https://www.amazon.com/Python-Crash-Course-Hands-Project-Based-ebook/dp/B018UXJ9RI
2,Smarter-Way-Learn-Python-Remember-ebook,$7.99,2019-01-29,python,https://www.amazon.com/Smarter-Way-Learn-Python-Remember-ebook/dp/B077Z55G3B
3,Smarter-Way-Learn-Python-Remember,$17.96,2019-01-29,python,https://www.amazon.com/Smarter-Way-Learn-Python-Remember/dp/1974431479
4,Learning-Python-5th-Mark-Lutz,$47.98,2019-01-29,python,https://www.amazon.com/Learning-Python-5th-Mark-Lutz/dp/1449355730
5,Learning-Python-Powerful-Object-Oriented-Programming-ebook,$27.99,2019-01-29,python,https://www.amazon.com/Learning-Python-Powerful-Object-Oriented-Programming-ebook/dp/B00DDZPC9S&selectObb=rent
6,Automate-Boring-Stuff-Python-Programming,$24.92,2019-01-29,python,https://www.amazon.com/Automate-Boring-Stuff-Python-Programming/dp/1593275994
7,Automate-Boring-Stuff-Python-Programming-ebook,$17.99,2019-01-29,python,https://www.amazon.com/Automate-Boring-Stuff-Python-Programming-ebook/dp/B00WJ049VU
8,Fluent-Python-Concise-Effective-Programming,$47.49,2019-01-29,python,https://www.amazon.com/Fluent-Python-Concise-Effective-Programming/dp/1491946008
9,Fluent-Python-Concise-Effective-Programming-ebook,$24.99,2019-01-29,python,https://www.amazon.com/Fluent-Python-Concise-Effective-Programming-ebook/dp/B0131L3PW4
10,Deep-Learning-Python-Francois-Chollet,$10.90,2019-01-29,python,https://www.amazon.com/Deep-Learning-Python-Francois-Chollet/dp/1617294438&selectObb=rent
11,Deep-Learning-Python-Francois-Chollet,$21.80,2019-01-29,python,https://www.amazon.com/Deep-Learning-Python-Francois-Chollet/dp/1617294438&selectObb=rent
12,Python-Data-Analysis-Wrangling-IPython,$44.42,2019-01-29,python,https://www.amazon.com/Python-Data-Analysis-Wrangling-IPython/dp/1491957662
