,Name,Price,Recorded_On,Search_Word,Link
0,ELEMENT-Element14-Raspberry-Pi-Motherboard,$38.30,2019-01-29,Raspberry Pi,https://www.amazon.com/ELEMENT-Element14-Raspberry-Pi-Motherboard/dp/B07BDR5PDW
1,CanaKit-Raspberry-Premium-Clear-Supply,$54.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Premium-Clear-Supply/dp/B07BC7BMHY
2,CanaKit-Raspberry-Starter-Premium-Black,$79.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Starter-Premium-Black/dp/B07BCC8PK7
3,Raspberry-Pi-RASPBERRYPI3-MODB-1GB-Model-Motherboard,$34.49,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-RASPBERRYPI3-MODB-1GB-Model-Motherboard/dp/B01CD5VC92
4,CanaKit-Raspberry-Complete-Starter-Kit,$74.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Complete-Starter-Kit/dp/B01C6Q2GSY
5,CanaKit-Raspberry-Clear-Power-Supply,$49.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Clear-Power-Supply/dp/B01C6EQNNK
6,CanaKit-Raspberry-Power-Supply-Listed,$48.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Power-Supply-Listed/dp/B07BC6WH7V
7,CanaKit-Raspberry-Ultimate-Starter-Clear,$89.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Ultimate-Starter-Clear/dp/B07BC567TW
8,V-Kits-Raspberry-Arcade-Classic-Gamepads,$89.99,2019-01-29,Raspberry Pi,https://www.amazon.com/V-Kits-Raspberry-Arcade-Classic-Gamepads/dp/B07CC86PR3
9,Vilros-Raspberry-Arcade-Classic-Gamepads,$79.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Vilros-Raspberry-Arcade-Classic-Gamepads/dp/B01J4HTOS8
10,CanaKit-Raspberry-Micro-Supply-Listed,$42.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Micro-Supply-Listed/dp/B01C6FFNY4
11,Vilros-Raspberry-Clear-Power-Supply,$49.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Vilros-Raspberry-Clear-Power-Supply/dp/B01D92SSX6
12,Exploring-Raspberry-Pi-Interfacing-Embedded,$29.44,2019-01-29,Raspberry Pi,https://www.amazon.com/Exploring-Raspberry-Pi-Interfacing-Embedded/dp/1119188687
13,Exploring-Raspberry-Pi-Interfacing-Embedded-ebook,$18.39,2019-01-29,Raspberry Pi,https://www.amazon.com/Exploring-Raspberry-Pi-Interfacing-Embedded-ebook/dp/B01H2KNGX8
14,LoveRPi-Raspberry-8GB-Quick-Start,$42.99,2019-01-29,Raspberry Pi,https://www.amazon.com/LoveRPi-Raspberry-8GB-Quick-Start/dp/B07JR3M7FY
15,Raspberry-Pi-7-Touchscreen-Display,$76.51,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-7-Touchscreen-Display/dp/B0153R2A9I
16,Vilros-Raspberry-Starter-Power-Premium,$26.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Vilros-Raspberry-Starter-Power-Premium/dp/B0748MPQT4
17,Freenove-Raspberry-Processing-Tutorials-Components,$49.95,2019-01-29,Raspberry Pi,https://www.amazon.com/Freenove-Raspberry-Processing-Tutorials-Components/dp/B06W54L7B5
18,CanaKit-Raspberry-Complete-Starter-Premium,$69.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Complete-Starter-Premium/dp/B07BLRSKBV
19,RS-Components-Raspberry-Pi-Motherboard,$38.50,2019-01-29,Raspberry Pi,https://www.amazon.com/RS-Components-Raspberry-Pi-Motherboard/dp/B07BFH96M3
20,CanaKit-Raspberry-Complete-Starter-Kit,$74.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Complete-Starter-Kit/dp/B0778CZ97B
21,Raspberry-Pi-MS-004-00000024-Model-Board,$37.94,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-MS-004-00000024-Model-Board/dp/B01LPLPBS8
22,CanaKit-Raspberry-Retro-Gaming-Gamepads,$89.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Retro-Gaming-Gamepads/dp/B07CNX8VG5
23,Raspberry-Model-Clear-Transparent-Heatsinks,$39.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Model-Clear-Transparent-Heatsinks/dp/B01N9YSKEU
24,Raspberry-Model-Computer-Performance-Heatsink,$39.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Model-Computer-Performance-Heatsink/dp/B01CMC50S0
25,CanaKit-Raspberry-Ultimate-Starter-Kit,$89.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Ultimate-Starter-Kit/dp/B01C6Q4GLE
26,Raspberry-Pi-Zero-Wireless-model,$21.43,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Zero-Wireless-model/dp/B06XFZC3BX
27,Raspberry-Cookbook-Python-Programmers-potential-ebook,$17.19,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Cookbook-Python-Programmers-potential-ebook/dp/B07BJL2T4L
28,Raspberry-Cookbook-Python-Programmers-potential,$34.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Cookbook-Python-Programmers-potential/dp/1788629876
29,Eviciv-Display-1024%C3%97600-Raspberry-Computer,$79.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Eviciv-Display-1024%C3%97600-Raspberry-Computer/dp/B07L6WT77H
30,NEEGO-Raspberry-Ultimate-Starter-Kit,$149.00,2019-01-29,Raspberry Pi,https://www.amazon.com/NEEGO-Raspberry-Ultimate-Starter-Kit/dp/B01NB1HK24
31,SmartiPi-Official-Raspberry-Touchscreen-Display,$27.99,2019-01-29,Raspberry Pi,https://www.amazon.com/SmartiPi-Official-Raspberry-Touchscreen-Display/dp/B01HV97F64
32,ABOX-Raspberry-Complete-Motherboard-Heatsink,$79.97,2019-01-29,Raspberry Pi,https://www.amazon.com/ABOX-Raspberry-Complete-Motherboard-Heatsink/dp/B07D8VXWRY
33,Raspberry-Pi-Camera-Module-Megapixel,$23.90,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Camera-Module-Megapixel/dp/B01ER2SKFS
34,ABOX-Raspberry-Complete-Motherboard-Heatsink,$69.97,2019-01-29,Raspberry Pi,https://www.amazon.com/ABOX-Raspberry-Complete-Motherboard-Heatsink/dp/B07L16MXBF
35,MakerFocus-Raspberry-Aluminium-Radiation-Protection,$18.99,2019-01-29,Raspberry Pi,https://www.amazon.com/MakerFocus-Raspberry-Aluminium-Radiation-Protection/dp/B07LG77XDB
36,V-Kits-Raspberry-Model-Starter-Latest,$54.99,2019-01-29,Raspberry Pi,https://www.amazon.com/V-Kits-Raspberry-Model-Starter-Latest/dp/B07BDRD3LP
37,Vilros-Raspberry-Complete-Starter-Kit-Clear,$69.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Vilros-Raspberry-Complete-Starter-Kit-Clear/dp/B00L87YMGM
38,Vilros-Raspberry-Kit-Premium-Essential-Accessories,$34.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Vilros-Raspberry-Kit-Premium-Essential-Accessories/dp/B0748NK116
39,Programming-Raspberry-Pi-Second-Getting,$12.41,2019-01-29,Raspberry Pi,https://www.amazon.com/Programming-Raspberry-Pi-Second-Getting/dp/1259587401
40,Programming-Raspberry-Pi-Second-Getting-ebook,$9.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Programming-Raspberry-Pi-Second-Getting-ebook/dp/B015K0URT8
41,Waveshare-Game-HAT-Resolution-Experience,$52.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Waveshare-Game-HAT-Resolution-Experience/dp/B07G57BC3R
42,Raspberry-Plus-Ultimate-Kit-Motherboard,$179.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Plus-Ultimate-Kit-Motherboard/dp/B07BGFH2K5
43,Raspberry-Battery-Kuman-Expansion-Supply,$19.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Battery-Kuman-Expansion-Supply/dp/B06W9FWDSP
44,CanaKit-Raspberry-Complete-Starter-Kit,$64.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Complete-Starter-Kit/dp/B06XW6VX1H
45,CanaKit-Raspberry-Wireless-Complete-Starter,$32.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Wireless-Complete-Starter/dp/B072N3X39J
46,Vilros-Raspberry-Complete-Starter-Clear,$74.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Vilros-Raspberry-Complete-Starter-Clear/dp/B01CUMNIV8
47,V-Kits-Raspberry-Starter-Aluminum-Cooling,$54.99,2019-01-29,Raspberry Pi,https://www.amazon.com/V-Kits-Raspberry-Starter-Aluminum-Cooling/dp/B07G1LMFRG
48,Raspberry-Touchscreen-Input-Display-Screen,$69.59,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Touchscreen-Input-Display-Screen/dp/B07HF4SFMT
49,Raspberry-Complete-Touchscreen-Keyboard-Touchpad,$179.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Complete-Touchscreen-Keyboard-Touchpad/dp/B07DTZ5LC8
50,Raspberry-Pi-Dummies-Sean-McManus-ebook,$14.39,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Dummies-Sean-McManus-ebook/dp/B0757RHL6S
51,Raspberry-Pi-Dummies-Sean-McManus,$20.90,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Dummies-Sean-McManus/dp/1119412005
52,Modules-Sensor-Raspberry-RPiUltimateKit-PiSDHDMI,$84.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Modules-Sensor-Raspberry-RPiUltimateKit-PiSDHDMI/dp/B07898V855
53,Miuzei-Raspberry-Heatsinks-Supply-Compatible,$16.59,2019-01-29,Raspberry Pi,https://www.amazon.com/Miuzei-Raspberry-Heatsinks-Supply-Compatible/dp/B07BTHNW9W
54,CanaKit-Raspberry-Starter-Official-Black,$79.99,2019-01-29,Raspberry Pi,https://www.amazon.com/CanaKit-Raspberry-Starter-Official-Black/dp/B07BJLQ8B1
55,Retroflag-MEGAPi-Functional-Shutdown-Raspberry,$24.96,2019-01-29,Raspberry Pi,https://www.amazon.com/Retroflag-MEGAPi-Functional-Shutdown-Raspberry/dp/B07JMLHVQN
56,Raspberry-Inch-Monitor-HDMI-SunFounder,$75.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Inch-Monitor-HDMI-SunFounder/dp/B01J51CXU4
57,Electronics-Salon-Terminal-Breakout-Module-Raspberry,$16.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Electronics-Salon-Terminal-Breakout-Module-Raspberry/dp/B01M27459S
58,ELECROW-Raspberry-Learning-Programming-Electronics,$339.00,2019-01-29,Raspberry Pi,https://www.amazon.com/ELECROW-Raspberry-Learning-Programming-Electronics/dp/B07L4RZP6B
59,MakerFocus-Raspberry-Standard-Expansion-Cellphone,$20.49,2019-01-29,Raspberry Pi,https://www.amazon.com/MakerFocus-Raspberry-Standard-Expansion-Cellphone/dp/B01LAEX7J0
60,V-Kits-Raspberry-Complete-Starter-Official,$79.99,2019-01-29,Raspberry Pi,https://www.amazon.com/V-Kits-Raspberry-Complete-Starter-Official/dp/B07BBVMTSL
61,Longruner-Capacitive-Display-800x480-Raspberry,$53.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Longruner-Capacitive-Display-800x480-Raspberry/dp/B071X8H5FB
62,Arducam-Noir-Camera-Raspberry-Illuminator,$27.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Arducam-Noir-Camera-Raspberry-Illuminator/dp/B07D8S6JRH
63,Vilros-Raspberry-Model-Supply-Latest,$48.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Vilros-Raspberry-Model-Supply-Latest/dp/B07BQFX4SB
64,SunFounder-Raspberry-Programming-Ultrasonic-Following,$119.00,2019-01-29,Raspberry Pi,https://www.amazon.com/SunFounder-Raspberry-Programming-Ultrasonic-Following/dp/B06XYZRBNJ
65,Raspberry-Plus-Ultimate-Kit-Motherboard,$139.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Plus-Ultimate-Kit-Motherboard/dp/B07BGD7P4K
66,ReSpeaker-microphone-expansion-raspberry-service,$14.90,2019-01-29,Raspberry Pi,https://www.amazon.com/ReSpeaker-microphone-expansion-raspberry-service/dp/B075MBBMQ4
67,Raspberry-Pi-Desktop-Starter-White,$79.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Pi-Desktop-Starter-White/dp/B01CI58722
68,Gowoops-Temperature-Humidity-Measurement-Raspberry,$9.90,2019-01-29,Raspberry Pi,https://www.amazon.com/Gowoops-Temperature-Humidity-Measurement-Raspberry/dp/B073F472JL
69,Raspberry-Battery-Charging-Protection-Output,$12.99,2019-01-29,Raspberry Pi,https://www.amazon.com/Raspberry-Battery-Charging-Protection-Output/dp/B07JP66RT9
